/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
global_step=10413, episodic_return=[200.]
global_step=10505, episodic_return=[650.]
global_step=10579, episodic_return=[550.]
global_step=10623, episodic_return=[100.]
global_step=10704, episodic_return=[400.]
global_step=10748, episodic_return=[100.]
global_step=10804, episodic_return=[250.]
global_step=10868, episodic_return=[350.]
global_step=10956, episodic_return=[500.]
global_step=11021, episodic_return=[300.]
global_step=11086, episodic_return=[300.]
global_step=11164, episodic_return=[350.]
global_step=11238, episodic_return=[250.]
global_step=11290, episodic_return=[200.]
global_step=11353, episodic_return=[400.]
global_step=11443, episodic_return=[450.]
global_step=11506, episodic_return=[100.]
global_step=11582, episodic_return=[400.]
global_step=11626, episodic_return=[100.]
global_step=11678, episodic_return=[150.]
global_step=11760, episodic_return=[400.]
global_step=11857, episodic_return=[550.]
global_step=11907, episodic_return=[150.]
global_step=12025, episodic_return=[800.]
global_step=12084, episodic_return=[250.]
global_step=12158, episodic_return=[400.]
global_step=12254, episodic_return=[450.]
global_step=12341, episodic_return=[250.]
global_step=12386, episodic_return=[150.]
global_step=12433, episodic_return=[150.]
global_step=12478, episodic_return=[100.]
global_step=12535, episodic_return=[200.]
global_step=12580, episodic_return=[150.]
global_step=12635, episodic_return=[150.]
global_step=12698, episodic_return=[200.]
global_step=12766, episodic_return=[200.]
global_step=12864, episodic_return=[550.]
global_step=12907, episodic_return=[50.]
global_step=13019, episodic_return=[800.]
global_step=13070, episodic_return=[250.]
global_step=13135, episodic_return=[250.]
global_step=13204, episodic_return=[200.]
global_step=13272, episodic_return=[650.]
global_step=13344, episodic_return=[300.]
global_step=13385, episodic_return=[100.]
global_step=13425, episodic_return=[200.]
global_step=13490, episodic_return=[300.]
global_step=13531, episodic_return=[150.]
global_step=13586, episodic_return=[150.]
global_step=13630, episodic_return=[50.]
global_step=13676, episodic_return=[50.]
global_step=13724, episodic_return=[150.]
global_step=13796, episodic_return=[450.]
global_step=13863, episodic_return=[250.]
global_step=13940, episodic_return=[450.]
global_step=13980, episodic_return=[50.]
global_step=14045, episodic_return=[400.]
global_step=14092, episodic_return=[100.]
global_step=14135, episodic_return=[50.]
global_step=14208, episodic_return=[400.]
global_step=14266, episodic_return=[150.]
global_step=14311, episodic_return=[100.]
global_step=14386, episodic_return=[250.]
global_step=14425, episodic_return=[100.]
global_step=14496, episodic_return=[450.]
global_step=14581, episodic_return=[400.]
global_step=14701, episodic_return=[500.]
global_step=14781, episodic_return=[300.]
global_step=14833, episodic_return=[100.]
global_step=14893, episodic_return=[300.]
global_step=14939, episodic_return=[250.]
global_step=14988, episodic_return=[300.]
global_step=15067, episodic_return=[300.]
global_step=15144, episodic_return=[500.]
global_step=15198, episodic_return=[200.]
global_step=15254, episodic_return=[300.]
global_step=15315, episodic_return=[300.]
global_step=15360, episodic_return=[50.]
global_step=15422, episodic_return=[200.]
global_step=15475, episodic_return=[200.]
global_step=15522, episodic_return=[200.]
global_step=15593, episodic_return=[250.]
global_step=15643, episodic_return=[350.]
global_step=15701, episodic_return=[200.]
global_step=15751, episodic_return=[100.]
global_step=15831, episodic_return=[400.]
global_step=15906, episodic_return=[300.]
global_step=15956, episodic_return=[100.]
global_step=16016, episodic_return=[250.]
global_step=16120, episodic_return=[700.]
global_step=16168, episodic_return=[150.]
global_step=16214, episodic_return=[100.]
global_step=16331, episodic_return=[750.]
global_step=16378, episodic_return=[200.]
global_step=16420, episodic_return=[250.]
global_step=16492, episodic_return=[200.]
global_step=16551, episodic_return=[200.]
global_step=16624, episodic_return=[100.]
global_step=16667, episodic_return=[50.]
global_step=16722, episodic_return=[100.]
global_step=16795, episodic_return=[550.]
global_step=16894, episodic_return=[400.]
global_step=16993, episodic_return=[450.]
global_step=17093, episodic_return=[200.]
global_step=17144, episodic_return=[200.]
global_step=17202, episodic_return=[200.]
global_step=17257, episodic_return=[150.]
global_step=17328, episodic_return=[500.]
global_step=17415, episodic_return=[350.]
global_step=17483, episodic_return=[150.]
global_step=17525, episodic_return=[50.]
global_step=17582, episodic_return=[150.]
global_step=17635, episodic_return=[250.]
global_step=17722, episodic_return=[150.]
global_step=17780, episodic_return=[150.]
global_step=17835, episodic_return=[200.]
global_step=17893, episodic_return=[250.]
global_step=17939, episodic_return=[50.]
global_step=17993, episodic_return=[200.]
global_step=18069, episodic_return=[300.]
global_step=18131, episodic_return=[200.]
global_step=18224, episodic_return=[650.]
global_step=18286, episodic_return=[300.]
global_step=18338, episodic_return=[100.]
global_step=18444, episodic_return=[700.]
global_step=18518, episodic_return=[350.]
global_step=18590, episodic_return=[450.]
global_step=18654, episodic_return=[200.]
global_step=18746, episodic_return=[500.]
global_step=18793, episodic_return=[100.]
global_step=18844, episodic_return=[200.]
global_step=18900, episodic_return=[350.]
global_step=18971, episodic_return=[450.]
global_step=19026, episodic_return=[150.]
global_step=19083, episodic_return=[250.]
global_step=19132, episodic_return=[50.]
global_step=19178, episodic_return=[350.]
global_step=19228, episodic_return=[150.]
global_step=19287, episodic_return=[200.]
global_step=19345, episodic_return=[200.]
global_step=19398, episodic_return=[50.]
global_step=19447, episodic_return=[200.]
global_step=19491, episodic_return=[100.]
global_step=19537, episodic_return=[50.]
global_step=19603, episodic_return=[200.]
global_step=19677, episodic_return=[150.]
global_step=19728, episodic_return=[100.]
global_step=19817, episodic_return=[450.]
global_step=19874, episodic_return=[300.]
global_step=19919, episodic_return=[300.]
global_step=19969, episodic_return=[50.]
global_step=20041, episodic_return=[250.]
global_step=20091, episodic_return=[150.]
global_step=20150, episodic_return=[250.]
global_step=20200, episodic_return=[150.]
global_step=20265, episodic_return=[200.]
global_step=20321, episodic_return=[150.]
global_step=20398, episodic_return=[350.]
global_step=20445, episodic_return=[100.]
global_step=20499, episodic_return=[100.]
global_step=20547, episodic_return=[150.]
global_step=20629, episodic_return=[250.]
global_step=20694, episodic_return=[250.]
global_step=20743, episodic_return=[150.]
global_step=20800, episodic_return=[150.]
global_step=20868, episodic_return=[300.]
global_step=20914, episodic_return=[50.]
global_step=20962, episodic_return=[200.]
global_step=21002, episodic_return=[100.]
global_step=21097, episodic_return=[550.]
global_step=21153, episodic_return=[100.]
global_step=21201, episodic_return=[100.]
global_step=21255, episodic_return=[50.]
global_step=21331, episodic_return=[200.]
global_step=21377, episodic_return=[100.]
global_step=21447, episodic_return=[150.]
global_step=21501, episodic_return=[250.]
global_step=21581, episodic_return=[350.]
global_step=21625, episodic_return=[150.]
global_step=21697, episodic_return=[250.]
global_step=21746, episodic_return=[150.]
global_step=21802, episodic_return=[200.]
global_step=21896, episodic_return=[400.]
global_step=21942, episodic_return=[200.]
