/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
global_step=10286, episodic_return=[300.]
global_step=10348, episodic_return=[200.]
global_step=10393, episodic_return=[100.]
global_step=10438, episodic_return=[150.]
global_step=10497, episodic_return=[100.]
global_step=10541, episodic_return=[50.]
global_step=10614, episodic_return=[150.]
global_step=10673, episodic_return=[200.]
global_step=10733, episodic_return=[350.]
global_step=10789, episodic_return=[250.]
global_step=10870, episodic_return=[250.]
global_step=10938, episodic_return=[250.]
global_step=10984, episodic_return=[50.]
global_step=11045, episodic_return=[150.]
global_step=11098, episodic_return=[100.]
global_step=11145, episodic_return=[100.]
global_step=11237, episodic_return=[500.]
global_step=11297, episodic_return=[400.]
global_step=11365, episodic_return=[300.]
global_step=11426, episodic_return=[100.]
global_step=11512, episodic_return=[400.]
global_step=11585, episodic_return=[300.]
global_step=11632, episodic_return=[150.]
global_step=11705, episodic_return=[350.]
global_step=11793, episodic_return=[600.]
global_step=11843, episodic_return=[350.]
global_step=11919, episodic_return=[300.]
global_step=11970, episodic_return=[100.]
global_step=12030, episodic_return=[200.]
global_step=12075, episodic_return=[50.]
global_step=12151, episodic_return=[300.]
global_step=12237, episodic_return=[400.]
global_step=12325, episodic_return=[300.]
global_step=12376, episodic_return=[100.]
global_step=12499, episodic_return=[550.]
global_step=12553, episodic_return=[350.]
global_step=12601, episodic_return=[150.]
global_step=12646, episodic_return=[100.]
global_step=12730, episodic_return=[250.]
global_step=12800, episodic_return=[450.]
global_step=12864, episodic_return=[350.]
global_step=12924, episodic_return=[300.]
global_step=13032, episodic_return=[450.]
global_step=13082, episodic_return=[100.]
global_step=13126, episodic_return=[50.]
global_step=13189, episodic_return=[250.]
global_step=13242, episodic_return=[150.]
global_step=13299, episodic_return=[150.]
global_step=13354, episodic_return=[50.]
global_step=13396, episodic_return=[50.]
global_step=13442, episodic_return=[50.]
global_step=13490, episodic_return=[50.]
global_step=13537, episodic_return=[100.]
global_step=13588, episodic_return=[50.]
global_step=13711, episodic_return=[600.]
global_step=13758, episodic_return=[100.]
global_step=13812, episodic_return=[150.]
global_step=13899, episodic_return=[450.]
global_step=13951, episodic_return=[150.]
global_step=14030, episodic_return=[150.]
global_step=14077, episodic_return=[100.]
global_step=14142, episodic_return=[300.]
global_step=14220, episodic_return=[300.]
global_step=14277, episodic_return=[250.]
global_step=14343, episodic_return=[400.]
global_step=14439, episodic_return=[600.]
global_step=14478, episodic_return=[100.]
global_step=14527, episodic_return=[250.]
global_step=14574, episodic_return=[50.]
global_step=14625, episodic_return=[50.]
global_step=14677, episodic_return=[250.]
global_step=14725, episodic_return=[150.]
global_step=14769, episodic_return=[150.]
global_step=14824, episodic_return=[300.]
global_step=14963, episodic_return=[700.]
global_step=15036, episodic_return=[100.]
global_step=15077, episodic_return=[200.]
global_step=15122, episodic_return=[150.]
global_step=15168, episodic_return=[50.]
global_step=15208, episodic_return=[100.]
global_step=15281, episodic_return=[300.]
global_step=15323, episodic_return=[50.]
global_step=15370, episodic_return=[250.]
global_step=15430, episodic_return=[300.]
global_step=15480, episodic_return=[250.]
global_step=15525, episodic_return=[150.]
global_step=15596, episodic_return=[250.]
global_step=15655, episodic_return=[150.]
global_step=15713, episodic_return=[200.]
global_step=15756, episodic_return=[100.]
global_step=15801, episodic_return=[50.]
global_step=15862, episodic_return=[250.]
global_step=15963, episodic_return=[600.]
global_step=16012, episodic_return=[50.]
global_step=16106, episodic_return=[400.]
global_step=16149, episodic_return=[50.]
global_step=16210, episodic_return=[300.]
global_step=16269, episodic_return=[400.]
global_step=16319, episodic_return=[250.]
global_step=16380, episodic_return=[200.]
global_step=16429, episodic_return=[50.]
global_step=16483, episodic_return=[50.]
global_step=16544, episodic_return=[200.]
global_step=16609, episodic_return=[250.]
global_step=16655, episodic_return=[100.]
global_step=16713, episodic_return=[200.]
global_step=16754, episodic_return=[50.]
global_step=16816, episodic_return=[100.]
global_step=16864, episodic_return=[200.]
global_step=16907, episodic_return=[100.]
global_step=16964, episodic_return=[150.]
global_step=17032, episodic_return=[250.]
global_step=17084, episodic_return=[150.]
global_step=17128, episodic_return=[100.]
global_step=17172, episodic_return=[100.]
global_step=17224, episodic_return=[100.]
global_step=17281, episodic_return=[250.]
global_step=17329, episodic_return=[50.]
global_step=17377, episodic_return=[100.]
global_step=17438, episodic_return=[200.]
global_step=17510, episodic_return=[350.]
global_step=17568, episodic_return=[300.]
global_step=17654, episodic_return=[500.]
global_step=17702, episodic_return=[200.]
global_step=17747, episodic_return=[50.]
global_step=17790, episodic_return=[50.]
global_step=17831, episodic_return=[150.]
global_step=17897, episodic_return=[350.]
global_step=17946, episodic_return=[50.]
global_step=17997, episodic_return=[100.]
global_step=18069, episodic_return=[400.]
global_step=18152, episodic_return=[300.]
global_step=18205, episodic_return=[200.]
global_step=18300, episodic_return=[500.]
global_step=18420, episodic_return=[650.]
global_step=18507, episodic_return=[350.]
global_step=18551, episodic_return=[50.]
global_step=18619, episodic_return=[250.]
global_step=18680, episodic_return=[150.]
global_step=18726, episodic_return=[100.]
global_step=18828, episodic_return=[200.]
global_step=18886, episodic_return=[350.]
global_step=18936, episodic_return=[50.]
global_step=19002, episodic_return=[350.]
global_step=19063, episodic_return=[100.]
global_step=19132, episodic_return=[350.]
global_step=19212, episodic_return=[200.]
global_step=19255, episodic_return=[100.]
