/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
global_step=10520, episodic_return=[550.]
global_step=10570, episodic_return=[200.]
global_step=10617, episodic_return=[150.]
global_step=10668, episodic_return=[100.]
global_step=10713, episodic_return=[50.]
global_step=10758, episodic_return=[50.]
global_step=10807, episodic_return=[250.]
global_step=10864, episodic_return=[200.]
global_step=10919, episodic_return=[200.]
global_step=10967, episodic_return=[100.]
global_step=11052, episodic_return=[250.]
global_step=11101, episodic_return=[50.]
global_step=11145, episodic_return=[200.]
global_step=11194, episodic_return=[50.]
global_step=11238, episodic_return=[150.]
global_step=11296, episodic_return=[300.]
global_step=11360, episodic_return=[250.]
global_step=11457, episodic_return=[600.]
global_step=11528, episodic_return=[450.]
global_step=11572, episodic_return=[100.]
global_step=11659, episodic_return=[350.]
global_step=11716, episodic_return=[150.]
global_step=11785, episodic_return=[300.]
global_step=11875, episodic_return=[300.]
global_step=11978, episodic_return=[500.]
global_step=12049, episodic_return=[350.]
global_step=12098, episodic_return=[100.]
global_step=12213, episodic_return=[900.]
global_step=12275, episodic_return=[250.]
global_step=12318, episodic_return=[150.]
global_step=12367, episodic_return=[150.]
global_step=12421, episodic_return=[250.]
global_step=12469, episodic_return=[200.]
global_step=12520, episodic_return=[200.]
global_step=12585, episodic_return=[150.]
global_step=12627, episodic_return=[250.]
global_step=12697, episodic_return=[250.]
global_step=12763, episodic_return=[250.]
global_step=12835, episodic_return=[150.]
global_step=12899, episodic_return=[250.]
global_step=12973, episodic_return=[300.]
global_step=13020, episodic_return=[100.]
global_step=13081, episodic_return=[200.]
global_step=13141, episodic_return=[250.]
global_step=13196, episodic_return=[250.]
global_step=13314, episodic_return=[600.]
global_step=13357, episodic_return=[200.]
global_step=13434, episodic_return=[400.]
global_step=13486, episodic_return=[50.]
global_step=13547, episodic_return=[350.]
global_step=13605, episodic_return=[200.]
global_step=13684, episodic_return=[500.]
global_step=13728, episodic_return=[200.]
global_step=13774, episodic_return=[50.]
global_step=13817, episodic_return=[100.]
global_step=13871, episodic_return=[150.]
global_step=13920, episodic_return=[0.]
global_step=13969, episodic_return=[50.]
global_step=14052, episodic_return=[350.]
global_step=14097, episodic_return=[50.]
global_step=14154, episodic_return=[100.]
global_step=14200, episodic_return=[50.]
global_step=14277, episodic_return=[250.]
global_step=14331, episodic_return=[350.]
global_step=14375, episodic_return=[150.]
global_step=14464, episodic_return=[300.]
global_step=14508, episodic_return=[50.]
global_step=14570, episodic_return=[200.]
global_step=14618, episodic_return=[150.]
global_step=14674, episodic_return=[150.]
global_step=14743, episodic_return=[350.]
global_step=14809, episodic_return=[150.]
global_step=14903, episodic_return=[400.]
global_step=14988, episodic_return=[300.]
global_step=15030, episodic_return=[50.]
global_step=15094, episodic_return=[250.]
global_step=15140, episodic_return=[150.]
global_step=15193, episodic_return=[200.]
global_step=15238, episodic_return=[50.]
global_step=15308, episodic_return=[300.]
global_step=15355, episodic_return=[150.]
global_step=15394, episodic_return=[100.]
global_step=15435, episodic_return=[200.]
global_step=15488, episodic_return=[200.]
global_step=15547, episodic_return=[150.]
global_step=15598, episodic_return=[350.]
global_step=15643, episodic_return=[100.]
global_step=15696, episodic_return=[200.]
global_step=15772, episodic_return=[250.]
global_step=15814, episodic_return=[200.]
global_step=15878, episodic_return=[200.]
global_step=15930, episodic_return=[350.]
global_step=16001, episodic_return=[350.]
global_step=16050, episodic_return=[250.]
global_step=16114, episodic_return=[300.]
global_step=16159, episodic_return=[50.]
global_step=16208, episodic_return=[100.]
global_step=16279, episodic_return=[300.]
global_step=16324, episodic_return=[150.]
global_step=16395, episodic_return=[250.]
global_step=16460, episodic_return=[100.]
global_step=16558, episodic_return=[350.]
global_step=16629, episodic_return=[250.]
global_step=16674, episodic_return=[200.]
global_step=16739, episodic_return=[200.]
global_step=16782, episodic_return=[50.]
global_step=16835, episodic_return=[150.]
global_step=16878, episodic_return=[50.]
global_step=16924, episodic_return=[50.]
global_step=16997, episodic_return=[100.]
global_step=17062, episodic_return=[300.]
global_step=17110, episodic_return=[100.]
global_step=17154, episodic_return=[100.]
global_step=17223, episodic_return=[300.]
global_step=17270, episodic_return=[100.]
global_step=17329, episodic_return=[250.]
global_step=17382, episodic_return=[50.]
global_step=17432, episodic_return=[150.]
global_step=17491, episodic_return=[150.]
global_step=17545, episodic_return=[200.]
global_step=17614, episodic_return=[350.]
global_step=17671, episodic_return=[250.]
global_step=17717, episodic_return=[50.]
global_step=17763, episodic_return=[100.]
global_step=17807, episodic_return=[50.]
global_step=17862, episodic_return=[150.]
global_step=17913, episodic_return=[200.]
global_step=18014, episodic_return=[500.]
global_step=18076, episodic_return=[450.]
global_step=18148, episodic_return=[300.]
global_step=18198, episodic_return=[150.]
global_step=18261, episodic_return=[250.]
global_step=18304, episodic_return=[50.]
global_step=18382, episodic_return=[250.]
global_step=18426, episodic_return=[50.]
global_step=18476, episodic_return=[100.]
global_step=18520, episodic_return=[100.]
global_step=18572, episodic_return=[150.]
global_step=18616, episodic_return=[50.]
global_step=18665, episodic_return=[150.]
global_step=18799, episodic_return=[800.]
global_step=18853, episodic_return=[150.]
global_step=18925, episodic_return=[350.]
global_step=19047, episodic_return=[600.]
global_step=19096, episodic_return=[200.]
global_step=19150, episodic_return=[200.]
global_step=19221, episodic_return=[400.]
global_step=19267, episodic_return=[250.]
global_step=19323, episodic_return=[150.]
global_step=19368, episodic_return=[50.]
global_step=19418, episodic_return=[150.]
global_step=19507, episodic_return=[450.]
global_step=19544, episodic_return=[250.]
global_step=19594, episodic_return=[50.]
global_step=19644, episodic_return=[100.]
global_step=19761, episodic_return=[700.]
global_step=19847, episodic_return=[400.]
global_step=19892, episodic_return=[300.]
global_step=19935, episodic_return=[50.]
global_step=19978, episodic_return=[150.]
global_step=20048, episodic_return=[250.]
global_step=20101, episodic_return=[100.]
global_step=20175, episodic_return=[200.]
global_step=20225, episodic_return=[100.]
global_step=20286, episodic_return=[350.]
global_step=20352, episodic_return=[200.]
global_step=20405, episodic_return=[100.]
global_step=20465, episodic_return=[150.]
global_step=20534, episodic_return=[300.]
global_step=20587, episodic_return=[350.]
global_step=20637, episodic_return=[100.]
global_step=20698, episodic_return=[350.]
global_step=20768, episodic_return=[200.]
global_step=20816, episodic_return=[50.]
global_step=20875, episodic_return=[250.]
global_step=20928, episodic_return=[150.]
global_step=20987, episodic_return=[150.]
global_step=21039, episodic_return=[100.]
global_step=21110, episodic_return=[350.]
global_step=21189, episodic_return=[400.]
global_step=21239, episodic_return=[150.]
global_step=21289, episodic_return=[200.]
global_step=21334, episodic_return=[50.]
global_step=21385, episodic_return=[100.]
global_step=21431, episodic_return=[150.]
global_step=21501, episodic_return=[350.]
global_step=21562, episodic_return=[250.]
global_step=21651, episodic_return=[500.]
global_step=21724, episodic_return=[300.]
global_step=21782, episodic_return=[300.]
global_step=21852, episodic_return=[300.]
global_step=21904, episodic_return=[150.]
global_step=21944, episodic_return=[200.]
global_step=21994, episodic_return=[250.]
global_step=22060, episodic_return=[350.]
global_step=22131, episodic_return=[250.]
global_step=22206, episodic_return=[450.]
global_step=22265, episodic_return=[450.]
global_step=22353, episodic_return=[350.]
global_step=22404, episodic_return=[50.]
global_step=22452, episodic_return=[50.]
global_step=22513, episodic_return=[100.]
global_step=22572, episodic_return=[200.]
global_step=22628, episodic_return=[100.]
global_step=22709, episodic_return=[350.]
global_step=22756, episodic_return=[100.]
global_step=22813, episodic_return=[100.]
global_step=22874, episodic_return=[250.]
global_step=22950, episodic_return=[200.]
global_step=23007, episodic_return=[150.]
global_step=23087, episodic_return=[450.]
global_step=23156, episodic_return=[200.]
global_step=23204, episodic_return=[50.]
global_step=23248, episodic_return=[50.]
global_step=23297, episodic_return=[100.]
global_step=23355, episodic_return=[350.]
global_step=23410, episodic_return=[250.]
global_step=23451, episodic_return=[100.]
global_step=23496, episodic_return=[100.]
global_step=23536, episodic_return=[100.]
global_step=23606, episodic_return=[350.]
global_step=23679, episodic_return=[450.]
global_step=23751, episodic_return=[200.]
global_step=23812, episodic_return=[350.]
global_step=23860, episodic_return=[100.]
global_step=23913, episodic_return=[300.]
global_step=23993, episodic_return=[500.]
global_step=24061, episodic_return=[250.]
global_step=24106, episodic_return=[150.]
global_step=24173, episodic_return=[300.]
global_step=24245, episodic_return=[250.]
global_step=24328, episodic_return=[450.]
global_step=24436, episodic_return=[400.]
global_step=24482, episodic_return=[150.]
global_step=24541, episodic_return=[250.]
global_step=24592, episodic_return=[50.]
global_step=24664, episodic_return=[350.]
global_step=24733, episodic_return=[500.]
global_step=24809, episodic_return=[300.]
global_step=24892, episodic_return=[400.]
global_step=24941, episodic_return=[100.]
global_step=24996, episodic_return=[200.]
global_step=25045, episodic_return=[100.]
global_step=25092, episodic_return=[100.]
global_step=25135, episodic_return=[50.]
global_step=25181, episodic_return=[400.]
global_step=25226, episodic_return=[100.]
global_step=25315, episodic_return=[400.]
global_step=25376, episodic_return=[300.]
global_step=25426, episodic_return=[100.]
global_step=25473, episodic_return=[100.]
global_step=25519, episodic_return=[100.]
global_step=25602, episodic_return=[450.]
global_step=25655, episodic_return=[300.]
global_step=25706, episodic_return=[200.]
global_step=25760, episodic_return=[100.]
global_step=25806, episodic_return=[150.]
global_step=25862, episodic_return=[50.]
global_step=25917, episodic_return=[350.]
global_step=25969, episodic_return=[200.]
global_step=26014, episodic_return=[50.]
global_step=26060, episodic_return=[50.]
global_step=26110, episodic_return=[150.]
global_step=26167, episodic_return=[150.]
global_step=26216, episodic_return=[150.]
global_step=26261, episodic_return=[50.]
global_step=26334, episodic_return=[450.]
global_step=26392, episodic_return=[250.]
global_step=26490, episodic_return=[450.]
global_step=26572, episodic_return=[300.]
global_step=26641, episodic_return=[400.]
global_step=26694, episodic_return=[50.]
global_step=26766, episodic_return=[100.]
global_step=26848, episodic_return=[450.]
global_step=26945, episodic_return=[300.]
global_step=26988, episodic_return=[50.]
global_step=27032, episodic_return=[100.]
global_step=27076, episodic_return=[100.]
global_step=27136, episodic_return=[250.]
global_step=27197, episodic_return=[150.]
global_step=27252, episodic_return=[350.]
global_step=27292, episodic_return=[100.]
global_step=27357, episodic_return=[450.]
global_step=27443, episodic_return=[350.]
global_step=27492, episodic_return=[100.]
global_step=27567, episodic_return=[300.]
global_step=27612, episodic_return=[250.]
global_step=27682, episodic_return=[350.]
global_step=27738, episodic_return=[50.]
global_step=27816, episodic_return=[400.]
global_step=27861, episodic_return=[150.]
global_step=27935, episodic_return=[350.]
global_step=27986, episodic_return=[250.]
global_step=28030, episodic_return=[50.]
global_step=28081, episodic_return=[150.]
global_step=28153, episodic_return=[300.]
global_step=28243, episodic_return=[350.]
global_step=28320, episodic_return=[400.]
global_step=28393, episodic_return=[300.]
global_step=28443, episodic_return=[250.]
global_step=28497, episodic_return=[200.]
global_step=28547, episodic_return=[150.]
global_step=28595, episodic_return=[50.]
global_step=28640, episodic_return=[150.]
global_step=28733, episodic_return=[450.]
global_step=28790, episodic_return=[150.]
global_step=28874, episodic_return=[250.]
global_step=28920, episodic_return=[100.]
global_step=28972, episodic_return=[100.]
global_step=29019, episodic_return=[150.]
global_step=29091, episodic_return=[400.]
global_step=29154, episodic_return=[250.]
global_step=29202, episodic_return=[50.]
global_step=29249, episodic_return=[200.]
global_step=29308, episodic_return=[300.]
global_step=29349, episodic_return=[50.]
global_step=29433, episodic_return=[150.]
global_step=29492, episodic_return=[100.]
global_step=29565, episodic_return=[350.]
global_step=29636, episodic_return=[400.]
global_step=29680, episodic_return=[100.]
global_step=29767, episodic_return=[400.]
global_step=29840, episodic_return=[400.]
global_step=29894, episodic_return=[100.]
global_step=29948, episodic_return=[200.]
global_step=30017, episodic_return=[250.]
global_step=30105, episodic_return=[400.]
global_step=30144, episodic_return=[200.]
global_step=30206, episodic_return=[200.]
