/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
global_step=6980, episodic_return=[1.]
global_step=7012, episodic_return=[1.]
global_step=7051, episodic_return=[2.]
global_step=7092, episodic_return=[2.]
global_step=7133, episodic_return=[2.]
global_step=7163, episodic_return=[1.]
global_step=7186, episodic_return=[0.]
global_step=7243, episodic_return=[3.]
global_step=7290, episodic_return=[2.]
global_step=7343, episodic_return=[3.]
global_step=7396, episodic_return=[3.]
global_step=7432, episodic_return=[1.]
global_step=7493, episodic_return=[3.]
global_step=7532, episodic_return=[2.]
global_step=7555, episodic_return=[0.]
global_step=7608, episodic_return=[3.]
global_step=7649, episodic_return=[2.]
global_step=7691, episodic_return=[2.]
global_step=7744, episodic_return=[3.]
global_step=7792, episodic_return=[2.]
global_step=7817, episodic_return=[0.]
global_step=7897, episodic_return=[6.]
global_step=7931, episodic_return=[1.]
global_step=8005, episodic_return=[5.]
global_step=8035, episodic_return=[1.]
global_step=8063, episodic_return=[1.]
global_step=8104, episodic_return=[2.]
global_step=8147, episodic_return=[2.]
global_step=8186, episodic_return=[2.]
global_step=8235, episodic_return=[2.]
global_step=8278, episodic_return=[2.]
global_step=8301, episodic_return=[0.]
global_step=8362, episodic_return=[4.]
global_step=8383, episodic_return=[0.]
global_step=8422, episodic_return=[2.]
global_step=8447, episodic_return=[0.]
global_step=8481, episodic_return=[1.]
global_step=8509, episodic_return=[1.]
global_step=8534, episodic_return=[0.]
global_step=8587, episodic_return=[3.]
global_step=8628, episodic_return=[2.]
global_step=8662, episodic_return=[1.]
global_step=8694, episodic_return=[1.]
global_step=8719, episodic_return=[0.]
global_step=8759, episodic_return=[2.]
global_step=8791, episodic_return=[1.]
global_step=8837, episodic_return=[2.]
global_step=8884, episodic_return=[2.]
global_step=8924, episodic_return=[2.]
global_step=8956, episodic_return=[1.]
global_step=8981, episodic_return=[0.]
global_step=9044, episodic_return=[4.]
global_step=9069, episodic_return=[0.]
global_step=9094, episodic_return=[0.]
global_step=9140, episodic_return=[2.]
global_step=9185, episodic_return=[2.]
global_step=9224, episodic_return=[2.]
global_step=9272, episodic_return=[2.]
global_step=9304, episodic_return=[1.]
global_step=9339, episodic_return=[1.]
global_step=9376, episodic_return=[1.]
global_step=9412, episodic_return=[1.]
global_step=9465, episodic_return=[3.]
global_step=9490, episodic_return=[0.]
global_step=9524, episodic_return=[1.]
global_step=9575, episodic_return=[3.]
global_step=9623, episodic_return=[2.]
global_step=9664, episodic_return=[2.]
global_step=9687, episodic_return=[0.]
global_step=9741, episodic_return=[3.]
global_step=9782, episodic_return=[2.]
global_step=9823, episodic_return=[2.]
global_step=9848, episodic_return=[0.]
global_step=9871, episodic_return=[0.]
global_step=9912, episodic_return=[2.]
global_step=9944, episodic_return=[1.]
global_step=9996, episodic_return=[3.]
global_step=10074, episodic_return=[5.]
global_step=10115, episodic_return=[2.]
global_step=10157, episodic_return=[2.]
global_step=10182, episodic_return=[0.]
global_step=10225, episodic_return=[2.]
global_step=10250, episodic_return=[0.]
global_step=10296, episodic_return=[2.]
global_step=10342, episodic_return=[2.]
global_step=10427, episodic_return=[8.]
global_step=10470, episodic_return=[2.]
global_step=10540, episodic_return=[5.]
global_step=10583, episodic_return=[2.]
global_step=10608, episodic_return=[0.]
global_step=10650, episodic_return=[2.]
global_step=10694, episodic_return=[2.]
global_step=10753, episodic_return=[3.]
global_step=10801, episodic_return=[2.]
global_step=10845, episodic_return=[2.]
global_step=10918, episodic_return=[5.]
global_step=10959, episodic_return=[2.]
global_step=11010, episodic_return=[3.]
global_step=11051, episodic_return=[2.]
global_step=11101, episodic_return=[3.]
global_step=11142, episodic_return=[2.]
global_step=11183, episodic_return=[2.]
global_step=11274, episodic_return=[7.]
global_step=11329, episodic_return=[3.]
global_step=11402, episodic_return=[5.]
global_step=11455, episodic_return=[3.]
global_step=11498, episodic_return=[2.]
global_step=11530, episodic_return=[1.]
global_step=11578, episodic_return=[2.]
global_step=11610, episodic_return=[1.]
global_step=11657, episodic_return=[2.]
global_step=11701, episodic_return=[2.]
global_step=11753, episodic_return=[3.]
global_step=11801, episodic_return=[2.]
global_step=11842, episodic_return=[2.]
global_step=11883, episodic_return=[2.]
global_step=11947, episodic_return=[4.]
global_step=11970, episodic_return=[0.]
global_step=12011, episodic_return=[2.]
global_step=12062, episodic_return=[3.]
global_step=12105, episodic_return=[2.]
global_step=12151, episodic_return=[2.]
global_step=12187, episodic_return=[1.]
global_step=12251, episodic_return=[4.]
global_step=12302, episodic_return=[3.]
global_step=12336, episodic_return=[1.]
global_step=12389, episodic_return=[3.]
global_step=12444, episodic_return=[3.]
global_step=12492, episodic_return=[2.]
global_step=12517, episodic_return=[0.]
global_step=12576, episodic_return=[3.]
global_step=12601, episodic_return=[0.]
global_step=12673, episodic_return=[5.]
global_step=12736, episodic_return=[4.]
global_step=12788, episodic_return=[3.]
global_step=12822, episodic_return=[1.]
global_step=12881, episodic_return=[4.]
global_step=12904, episodic_return=[0.]
global_step=12938, episodic_return=[1.]
global_step=12977, episodic_return=[2.]
global_step=13024, episodic_return=[2.]
global_step=13065, episodic_return=[2.]
global_step=13126, episodic_return=[4.]
global_step=13162, episodic_return=[1.]
global_step=13203, episodic_return=[2.]
global_step=13237, episodic_return=[1.]
global_step=13262, episodic_return=[0.]
global_step=13315, episodic_return=[3.]
global_step=13351, episodic_return=[1.]
global_step=13383, episodic_return=[1.]
global_step=13415, episodic_return=[1.]
global_step=13475, episodic_return=[4.]
global_step=13544, episodic_return=[4.]
global_step=13633, episodic_return=[6.]
global_step=13658, episodic_return=[0.]
global_step=13703, episodic_return=[2.]
global_step=13728, episodic_return=[0.]
global_step=13778, episodic_return=[3.]
global_step=13868, episodic_return=[6.]
global_step=13916, episodic_return=[2.]
global_step=13950, episodic_return=[1.]
global_step=13971, episodic_return=[0.]
global_step=14034, episodic_return=[4.]
global_step=14059, episodic_return=[0.]
global_step=14082, episodic_return=[0.]
global_step=14107, episodic_return=[0.]
global_step=14132, episodic_return=[0.]
global_step=14170, episodic_return=[2.]
global_step=14206, episodic_return=[1.]
global_step=14252, episodic_return=[2.]
global_step=14298, episodic_return=[2.]
global_step=14339, episodic_return=[2.]
global_step=14364, episodic_return=[0.]
global_step=14417, episodic_return=[3.]
global_step=14483, episodic_return=[4.]
global_step=14534, episodic_return=[3.]
global_step=14559, episodic_return=[0.]
global_step=14598, episodic_return=[2.]
global_step=14632, episodic_return=[1.]
global_step=14655, episodic_return=[0.]
global_step=14702, episodic_return=[2.]
global_step=14736, episodic_return=[1.]
global_step=14777, episodic_return=[2.]
global_step=14820, episodic_return=[2.]
global_step=14845, episodic_return=[0.]
global_step=14903, episodic_return=[4.]
global_step=14944, episodic_return=[2.]
global_step=15012, episodic_return=[5.]
global_step=15037, episodic_return=[0.]
global_step=15080, episodic_return=[2.]
global_step=15123, episodic_return=[2.]
global_step=15183, episodic_return=[4.]
global_step=15224, episodic_return=[2.]
global_step=15265, episodic_return=[2.]
global_step=15309, episodic_return=[2.]
global_step=15382, episodic_return=[5.]
global_step=15451, episodic_return=[5.]
global_step=15476, episodic_return=[0.]
global_step=15537, episodic_return=[3.]
global_step=15580, episodic_return=[2.]
global_step=15605, episodic_return=[0.]
global_step=15660, episodic_return=[3.]
global_step=15699, episodic_return=[2.]
global_step=15758, episodic_return=[3.]
global_step=15792, episodic_return=[1.]
global_step=15848, episodic_return=[3.]
global_step=15869, episodic_return=[0.]
global_step=15911, episodic_return=[2.]
global_step=15945, episodic_return=[1.]
global_step=15997, episodic_return=[3.]
global_step=16018, episodic_return=[0.]
global_step=16043, episodic_return=[0.]
global_step=16068, episodic_return=[0.]
global_step=16102, episodic_return=[1.]
global_step=16127, episodic_return=[0.]
global_step=16170, episodic_return=[2.]
global_step=16223, episodic_return=[3.]
global_step=16264, episodic_return=[2.]
global_step=16320, episodic_return=[3.]
global_step=16363, episodic_return=[2.]
global_step=16397, episodic_return=[1.]
global_step=16431, episodic_return=[1.]
global_step=16486, episodic_return=[3.]
global_step=16518, episodic_return=[1.]
global_step=16550, episodic_return=[1.]
global_step=16589, episodic_return=[2.]
global_step=16644, episodic_return=[3.]
global_step=16693, episodic_return=[2.]
global_step=16766, episodic_return=[5.]
global_step=16807, episodic_return=[2.]
global_step=16832, episodic_return=[0.]
global_step=16880, episodic_return=[3.]
global_step=16905, episodic_return=[0.]
global_step=16946, episodic_return=[2.]
global_step=16999, episodic_return=[3.]
global_step=17033, episodic_return=[1.]
global_step=17058, episodic_return=[0.]
global_step=17112, episodic_return=[3.]
global_step=17165, episodic_return=[3.]
global_step=17218, episodic_return=[3.]
global_step=17250, episodic_return=[1.]
global_step=17309, episodic_return=[3.]
global_step=17350, episodic_return=[2.]
global_step=17392, episodic_return=[2.]
global_step=17450, episodic_return=[3.]
global_step=17549, episodic_return=[7.]
global_step=17607, episodic_return=[3.]
global_step=17643, episodic_return=[1.]
global_step=17668, episodic_return=[0.]
global_step=17700, episodic_return=[1.]
