/home/yos/miniconda3/envs/rl_hw4_atari/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
global_step=6799, episodic_return=[1.]
global_step=6842, episodic_return=[2.]
global_step=6881, episodic_return=[2.]
global_step=6922, episodic_return=[2.]
global_step=6956, episodic_return=[1.]
global_step=7004, episodic_return=[3.]
global_step=7041, episodic_return=[1.]
global_step=7064, episodic_return=[0.]
global_step=7089, episodic_return=[0.]
global_step=7110, episodic_return=[0.]
global_step=7153, episodic_return=[2.]
global_step=7178, episodic_return=[0.]
global_step=7203, episodic_return=[0.]
global_step=7228, episodic_return=[0.]
global_step=7282, episodic_return=[3.]
global_step=7331, episodic_return=[2.]
global_step=7365, episodic_return=[1.]
global_step=7413, episodic_return=[3.]
global_step=7447, episodic_return=[1.]
global_step=7483, episodic_return=[1.]
global_step=7524, episodic_return=[2.]
global_step=7575, episodic_return=[3.]
global_step=7609, episodic_return=[1.]
global_step=7664, episodic_return=[3.]
global_step=7722, episodic_return=[4.]
global_step=7774, episodic_return=[3.]
global_step=7806, episodic_return=[1.]
global_step=7850, episodic_return=[2.]
global_step=7875, episodic_return=[0.]
global_step=7900, episodic_return=[0.]
global_step=7941, episodic_return=[2.]
global_step=7985, episodic_return=[2.]
global_step=8046, episodic_return=[4.]
global_step=8076, episodic_return=[1.]
global_step=8142, episodic_return=[4.]
global_step=8167, episodic_return=[0.]
global_step=8190, episodic_return=[0.]
global_step=8245, episodic_return=[3.]
global_step=8296, episodic_return=[3.]
global_step=8346, episodic_return=[3.]
global_step=8385, episodic_return=[2.]
global_step=8453, episodic_return=[5.]
global_step=8500, episodic_return=[2.]
global_step=8545, episodic_return=[2.]
global_step=8582, episodic_return=[2.]
global_step=8639, episodic_return=[3.]
global_step=8664, episodic_return=[0.]
global_step=8698, episodic_return=[1.]
global_step=8742, episodic_return=[2.]
global_step=8783, episodic_return=[2.]
global_step=8836, episodic_return=[3.]
global_step=8879, episodic_return=[2.]
global_step=8940, episodic_return=[3.]
global_step=8965, episodic_return=[0.]
global_step=8990, episodic_return=[0.]
global_step=9024, episodic_return=[1.]
global_step=9047, episodic_return=[0.]
global_step=9081, episodic_return=[1.]
global_step=9124, episodic_return=[2.]
global_step=9172, episodic_return=[3.]
global_step=9206, episodic_return=[1.]
global_step=9238, episodic_return=[1.]
global_step=9287, episodic_return=[2.]
global_step=9328, episodic_return=[2.]
global_step=9398, episodic_return=[4.]
global_step=9444, episodic_return=[2.]
global_step=9478, episodic_return=[1.]
global_step=9525, episodic_return=[2.]
global_step=9566, episodic_return=[2.]
global_step=9591, episodic_return=[0.]
global_step=9633, episodic_return=[2.]
global_step=9674, episodic_return=[2.]
global_step=9739, episodic_return=[4.]
global_step=9769, episodic_return=[1.]
global_step=9815, episodic_return=[2.]
global_step=9847, episodic_return=[1.]
global_step=9888, episodic_return=[2.]
global_step=9911, episodic_return=[0.]
global_step=9947, episodic_return=[1.]
global_step=9986, episodic_return=[2.]
global_step=10020, episodic_return=[1.]
global_step=10073, episodic_return=[3.]
global_step=10114, episodic_return=[2.]
global_step=10160, episodic_return=[2.]
global_step=10204, episodic_return=[2.]
global_step=10227, episodic_return=[0.]
global_step=10261, episodic_return=[1.]
global_step=10286, episodic_return=[0.]
global_step=10316, episodic_return=[1.]
global_step=10346, episodic_return=[1.]
global_step=10378, episodic_return=[1.]
global_step=10403, episodic_return=[0.]
global_step=10437, episodic_return=[1.]
global_step=10473, episodic_return=[1.]
global_step=10517, episodic_return=[2.]
global_step=10540, episodic_return=[0.]
global_step=10594, episodic_return=[3.]
global_step=10628, episodic_return=[1.]
global_step=10697, episodic_return=[4.]
global_step=10720, episodic_return=[0.]
global_step=10795, episodic_return=[5.]
global_step=10836, episodic_return=[2.]
global_step=10861, episodic_return=[0.]
global_step=10886, episodic_return=[0.]
global_step=10922, episodic_return=[1.]
global_step=10968, episodic_return=[3.]
global_step=11033, episodic_return=[4.]
global_step=11074, episodic_return=[2.]
global_step=11126, episodic_return=[3.]
global_step=11202, episodic_return=[5.]
global_step=11246, episodic_return=[2.]
global_step=11296, episodic_return=[3.]
global_step=11341, episodic_return=[2.]
global_step=11373, episodic_return=[1.]
global_step=11416, episodic_return=[2.]
global_step=11441, episodic_return=[0.]
global_step=11466, episodic_return=[0.]
global_step=11502, episodic_return=[1.]
global_step=11574, episodic_return=[5.]
global_step=11599, episodic_return=[0.]
global_step=11633, episodic_return=[1.]
global_step=11674, episodic_return=[2.]
global_step=11708, episodic_return=[1.]
global_step=11749, episodic_return=[2.]
global_step=11774, episodic_return=[0.]
global_step=11819, episodic_return=[2.]
global_step=11858, episodic_return=[2.]
global_step=11928, episodic_return=[5.]
global_step=11963, episodic_return=[1.]
global_step=11988, episodic_return=[0.]
global_step=12011, episodic_return=[0.]
global_step=12036, episodic_return=[0.]
global_step=12072, episodic_return=[1.]
global_step=12108, episodic_return=[1.]
global_step=12174, episodic_return=[4.]
global_step=12220, episodic_return=[2.]
global_step=12245, episodic_return=[0.]
global_step=12288, episodic_return=[2.]
global_step=12311, episodic_return=[0.]
global_step=12379, episodic_return=[5.]
global_step=12413, episodic_return=[1.]
global_step=12466, episodic_return=[3.]
global_step=12489, episodic_return=[0.]
global_step=12533, episodic_return=[2.]
global_step=12567, episodic_return=[1.]
global_step=12599, episodic_return=[1.]
global_step=12668, episodic_return=[7.]
global_step=12691, episodic_return=[0.]
global_step=12734, episodic_return=[2.]
global_step=12780, episodic_return=[2.]
global_step=12824, episodic_return=[2.]
global_step=12854, episodic_return=[1.]
global_step=12879, episodic_return=[0.]
global_step=12945, episodic_return=[4.]
global_step=12996, episodic_return=[3.]
global_step=13021, episodic_return=[0.]
global_step=13071, episodic_return=[3.]
global_step=13103, episodic_return=[1.]
global_step=13133, episodic_return=[1.]
global_step=13179, episodic_return=[3.]
global_step=13268, episodic_return=[6.]
global_step=13313, episodic_return=[2.]
global_step=13341, episodic_return=[1.]
global_step=13373, episodic_return=[1.]
global_step=13422, episodic_return=[3.]
global_step=13447, episodic_return=[0.]
global_step=13490, episodic_return=[2.]
global_step=13520, episodic_return=[1.]
global_step=13564, episodic_return=[2.]
global_step=13589, episodic_return=[0.]
global_step=13644, episodic_return=[3.]
global_step=13690, episodic_return=[2.]
global_step=13715, episodic_return=[0.]
global_step=13747, episodic_return=[1.]
global_step=13805, episodic_return=[3.]
global_step=13837, episodic_return=[1.]
global_step=13860, episodic_return=[0.]
global_step=13901, episodic_return=[2.]
global_step=13937, episodic_return=[1.]
global_step=13981, episodic_return=[2.]
global_step=14018, episodic_return=[2.]
global_step=14071, episodic_return=[3.]
global_step=14096, episodic_return=[0.]
global_step=14130, episodic_return=[1.]
global_step=14164, episodic_return=[1.]
global_step=14207, episodic_return=[2.]
global_step=14242, episodic_return=[1.]
global_step=14311, episodic_return=[4.]
global_step=14371, episodic_return=[3.]
global_step=14414, episodic_return=[2.]
global_step=14448, episodic_return=[1.]
